CNT,IC177Q01JA,IC177Q02JA,IC177Q03JA,IC177Q04JA,IC177Q05JA,IC177Q06JA,IC177Q07JA,IC178Q01JA,IC178Q02JA,IC178Q03JA,IC178Q04JA,IC178Q05JA,IC178Q06JA,IC178Q07JA,Math_mean,ST296Q01JA
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,616.7168,$null$
HKG,5,3,2,1,1,3,1,5,3,2,2,2,2,1,520.3686,1
HKG,3,3,3,1,3,2,3,1,3,1,1,3,1,1,552.6763,2
HKG,4,4,4,3,3,3,2,3,3,3,3,4,3,1,565.2832,2
HKG,3,3,2,2,2,2,2,4,4,2,2,2,2,2,593.0308,2
HKG,2,4,4,2,4,4,3,2,4,4,1,5,3,2,552.977,2
HKG,3,2,3,3,2,3,3,3,2,2,3,2,2,3,588.9976,2
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,389.0816,1
HKG,3,4,2,2,2,2,3,4,3,3,3,3,3,3,518.7408,2
HKG,5,5,4,4,5,5,1,6,6,6,6,6,6,1,530.7877,2
HKG,3,3,3,2,2,2,1,3,3,3,2,2,2,1,679.3503,2
HKG,3,3,5,2,2,2,1,3,2,3,2,2,2,1,582.9102,2
HKG,4,4,3,3,3,3,3,4,4,3,3,3,3,3,474.3484,2
HKG,3,3,3,1,3,3,3,5,5,5,5,5,5,5,481.5809,2
HKG,3,3,3,2,3,2,2,3,3,3,2,3,2,2,570.3699,1
HKG,6,1,5,99,1,1,1,6,1,6,1,1,1,1,672.8688,2
HKG,3,4,2,2,2,2,3,3,4,2,2,2,3,3,619.1632,3
HKG,5,3,3,3,99,2,1,6,3,99,3,3,3,1,488.3559,2
HKG,4,4,4,2,2,2,2,99,99,99,99,99,99,99,561.5753,1
HKG,5,4,1,1,1,1,3,6,3,1,3,5,1,1,374.7563,2
HKG,4,3,3,3,3,2,2,5,2,3,2,3,2,2,482.0391,1
HKG,2,1,2,3,2,3,2,3,1,3,3,2,2,1,695.119,2
HKG,3,2,3,2,2,2,1,3,2,2,2,2,1,1,548.6036,2
HKG,3,2,2,1,1,2,1,3,2,2,1,1,1,1,619.2503,2
HKG,1,2,3,1,2,2,2,1,2,4,1,2,2,2,598.2901,2
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,355.0547,3
HKG,5,1,5,2,1,1,1,6,1,6,1,1,1,1,417.0187,1
HKG,4,4,4,2,4,3,1,4,5,4,4,2,2,2,728.0762,1
HKG,2,3,1,1,1,1,1,2,3,2,1,1,1,1,539.6102,1
HKG,3,3,3,3,3,3,3,4,4,4,3,3,3,3,573.3715,3
HKG,3,3,3,2,2,2,2,3,3,3,2,2,3,2,577.3098,3
HKG,4,3,3,3,3,3,1,4,3,3,3,3,3,1,548.6062,4
HKG,2,3,2,1,3,1,1,3,2,1,1,3,1,1,669.2198,2
HKG,3,3,3,3,3,3,3,4,4,4,4,4,4,4,585.0052,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,597.4757,$null$
HKG,5,3,3,3,3,3,3,3,3,3,3,3,3,3,516.6607,2
HKG,2,2,2,2,2,2,1,3,3,2,3,3,2,1,651.4676,2
HKG,4,4,4,2,2,1,2,4,4,4,2,1,1,2,664.4619,3
HKG,5,6,5,2,5,4,1,3,5,5,2,5,3,1,619.6248,4
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,603.2511,3
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,500.0375,2
HKG,4,4,4,4,5,4,4,4,4,4,4,4,5,5,612.7558,3
HKG,2,2,3,1,2,3,1,2,2,3,2,2,3,1,653.433,1
HKG,3,3,1,2,3,1,1,3,3,4,2,3,1,1,519.4891,1
HKG,3,3,2,2,1,1,1,99,3,3,2,1,1,1,628.5833,2
HKG,3,3,2,2,2,2,1,4,3,3,2,3,2,1,730.0749,2
HKG,4,3,3,2,1,2,1,4,3,3,2,1,2,1,570.0838,1
HKG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,479.8111,2
HKG,3,3,3,3,3,3,3,4,3,3,3,2,3,3,622.1673,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,542.894,$null$
HKG,3,2,2,1,2,1,1,3,2,2,1,2,1,1,568.6875,1
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,427.7175,2
HKG,2,3,4,2,3,3,2,5,4,5,2,2,2,2,480.6603,2
HKG,1,3,3,2,3,2,1,2,3,3,2,3,2,1,682.7708,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,491.2216,$null$
HKG,3,3,3,2,3,1,1,3,3,3,2,3,2,3,545.8515,1
HKG,3,3,4,2,1,2,1,4,3,4,2,1,2,1,778.6476,2
HKG,2,2,3,2,2,2,2,3,2,3,2,2,2,2,682.5467,1
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,490.8879,$null$
HKG,3,3,2,1,2,2,4,4,3,3,1,2,1,4,624.4989,3
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,470.9074,3
HKG,3,3,2,2,2,2,2,4,3,2,2,2,2,2,781.6543,2
HKG,4,4,4,4,4,2,2,4,4,4,4,4,2,1,563.0108,2
HKG,4,4,2,2,2,1,2,5,3,2,2,2,1,3,656.9186,2
HKG,2,4,1,2,2,2,1,2,3,1,2,2,1,1,413.3756,1
HKG,4,4,4,3,4,4,1,4,4,4,4,4,3,1,492.7341,3
HKG,3,1,2,1,1,1,1,3,1,2,1,1,1,1,593.0441,1
HKG,2,3,3,2,2,2,3,2,4,4,4,4,4,4,616.463,2
HKG,3,6,3,2,6,2,3,6,6,5,2,6,5,3,501.2621,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,622.586,$null$
HKG,3,2,3,3,2,3,2,3,3,2,2,3,2,3,512.7953,1
HKG,1,2,3,2,2,2,2,1,2,3,2,2,1,2,407.4453,1
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,461.8929,2
HKG,1,1,2,1,1,1,2,1,1,3,1,1,1,1,744.9646,6
HKG,3,3,3,2,3,4,1,3,3,3,2,2,3,1,596.3964,3
HKG,3,3,3,3,3,3,3,3,3,3,3,2,2,3,706.6756,2
HKG,4,4,4,4,4,4,4,5,5,5,5,5,5,5,376.0489,3
HKG,1,1,1,1,1,2,2,1,1,1,1,1,2,2,613.0539,3
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,679.8022,$null$
HKG,3,4,2,2,3,2,1,4,3,2,2,4,1,1,661.5945,2
HKG,4,3,3,1,2,1,1,4,3,3,3,2,1,1,767.5338,2
HKG,4,2,3,3,2,2,1,4,2,2,2,2,2,1,624.3869,3
HKG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,612.8401,1
HKG,3,3,4,1,3,1,1,4,4,3,1,3,3,1,530.5803,3
HKG,3,2,2,1,1,1,1,4,3,1,1,1,1,1,600.0292,1
HKG,5,5,5,2,5,1,2,5,5,5,2,5,1,2,480.1191,1
HKG,2,3,3,3,3,3,3,3,3,3,3,3,2,3,493.8498,1
HKG,4,2,3,2,2,1,1,5,3,3,2,2,1,1,581.4723,4
HKG,99,4,4,1,4,4,1,3,3,2,2,2,2,1,647.9265,2
HKG,3,2,3,2,2,2,1,3,2,2,2,3,2,1,477.8516,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,545.7726,$null$
HKG,4,2,4,2,2,2,1,4,2,4,2,2,2,1,699.9012,2
HKG,3,99,3,2,4,2,2,3,4,3,2,4,2,2,591.1979,3
HKG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,491.3309,1
HKG,6,6,6,4,6,3,1,5,5,5,4,5,5,1,455.0786,2
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,442.4929,3
HKG,4,3,3,2,3,3,2,5,5,4,3,3,2,2,607.9312,2
HKG,3,3,3,3,3,3,3,2,2,2,2,2,2,2,407.988,2
HKG,4,6,1,2,5,1,1,4,6,3,2,6,2,1,574.6215,2
HKG,4,2,2,2,2,3,3,4,2,2,2,2,2,3,657.7372,1
HKG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,484.039,1
HKG,3,2,1,2,3,2,1,4,3,99,2,3,1,1,566.8714,2
HKG,6,6,6,1,3,1,2,6,6,6,1,3,1,2,638.634,1
HKG,4,4,2,1,4,1,1,4,4,3,1,4,1,1,565.8892,2
HKG,1,2,4,3,1,5,6,1,2,4,2,1,5,6,611.9844,3
HKG,1,4,4,2,3,3,1,1,4,4,2,3,3,1,641.9531,2
HKG,3,3,3,1,3,2,1,4,4,4,1,4,2,1,615.5701,4
HKG,3,2,3,2,2,2,1,4,3,3,2,2,2,1,601.0884,3
HKG,6,6,1,99,5,1,1,5,5,5,1,2,1,1,363.0696,1
HKG,2,4,4,3,2,1,1,2,5,5,1,3,3,1,541.735,3
HKG,6,3,4,1,5,1,1,6,4,1,1,5,1,1,569.4054,4
HKG,3,1,1,3,1,3,1,3,1,2,3,1,2,1,670.2756,1
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,388.3377,1
HKG,2,2,2,2,2,1,1,2,3,4,2,3,2,1,599.771,2
HKG,4,4,4,4,4,4,4,3,3,3,3,3,3,3,487.6438,2
HKG,2,3,2,2,3,2,2,2,3,2,2,3,2,3,662.1004,2
HKG,3,2,2,3,2,2,3,4,2,2,2,2,2,3,648.1415,2
HKG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,381.702,2
HKG,3,3,3,2,2,3,2,3,2,2,2,2,2,2,519.4963,3
HKG,1,3,3,2,3,1,3,1,3,3,3,3,2,3,537.2538,3
HKG,2,3,3,1,3,2,2,3,3,4,2,3,2,2,619.8297,2
HKG,5,4,3,5,2,4,5,1,3,3,5,6,4,3,535.2559,2
HKG,4,1,3,2,1,1,1,4,2,2,2,1,1,1,597.4577,2
HKG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,453.5585,3
HKG,2,2,2,1,2,2,2,2,2,2,2,2,1,1,499.8947,1
HKG,4,3,1,1,3,1,1,4,3,1,2,2,1,1,392.8823,1
HKG,3,4,3,4,3,3,3,2,2,99,3,2,3,3,522.6063,2
HKG,4,3,4,4,3,3,3,4,3,3,3,3,4,4,372.1664,1
HKG,3,2,2,1,1,1,2,3,2,1,1,1,1,2,481.0545,2
HKG,6,6,6,6,6,6,1,6,6,6,6,6,6,1,406.5868,2
HKG,4,4,2,1,2,1,1,5,5,3,1,2,1,1,668.6641,3
HKG,3,3,3,2,2,2,1,4,3,2,2,2,2,1,599.9019,1
HKG,3,4,3,2,4,2,1,3,4,4,3,4,3,1,517.9353,3
HKG,3,2,2,2,1,1,1,3,2,2,1,1,1,1,491.2188,2
HKG,6,2,4,1,3,2,2,6,3,99,1,2,2,2,493.1057,2
HKG,6,6,6,6,6,1,1,6,6,6,6,6,1,1,607.9119,1
HKG,4,4,3,3,4,3,3,2,2,2,2,99,2,2,483.3692,2
HKG,3,3,2,1,2,1,2,3,3,2,2,3,2,2,679.6604,4
HKG,1,4,4,2,4,4,4,2,3,3,3,3,3,3,542.9004,2
HKG,3,3,2,3,3,3,3,3,3,3,3,3,3,4,507.817,1
HKG,4,4,4,4,4,4,1,4,4,4,4,4,4,1,541.8545,1
HKG,4,4,2,2,2,2,1,5,5,5,1,1,1,1,634.2702,3
HKG,3,1,3,1,1,1,4,3,1,6,1,1,1,4,543.8863,1
HKG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,389.5897,3
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,378.4324,1
HKG,3,3,5,3,2,1,1,5,5,6,2,2,1,1,661.7765,4
HKG,4,4,4,4,4,4,2,4,4,4,4,4,4,4,556.0757,2
HKG,3,3,3,2,3,3,3,3,3,3,3,3,3,3,737.8647,2
HKG,3,2,3,1,2,2,1,3,2,2,2,2,2,2,603.4329,2
HKG,2,5,6,3,4,1,1,2,5,6,4,3,3,1,592.6633,2
HKG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,403.8621,6
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,525.7323,1
HKG,4,4,4,2,4,4,4,4,4,4,4,4,4,4,553.7285,1
HKG,6,4,2,2,2,1,1,6,4,2,1,1,1,1,678.7085,1
HKG,4,3,2,2,2,2,2,5,4,2,2,2,2,2,642.6445,1
HKG,2,3,3,3,3,3,3,3,2,2,3,2,1,3,491.0504,5
HKG,6,6,2,3,6,2,2,6,6,3,2,6,3,2,444.2637,1
HKG,5,5,5,2,5,4,1,6,5,5,2,5,4,1,530.6654,1
HKG,2,3,2,2,3,3,2,3,3,2,1,3,2,2,641.1216,1
HKG,4,3,2,2,2,2,1,4,2,1,1,1,1,1,381.0032,1
HKG,1,4,5,2,2,2,3,1,4,5,2,2,2,2,599.9799,3
HKG,3,2,1,1,2,1,2,3,2,1,1,2,1,3,512.497,1
HKG,4,5,4,2,4,4,1,4,4,4,4,4,1,1,584.2496,2
